Data Series,Year,Birth_Count
  1st Order,1990,19766
  2nd Order,1990,17764
  3rd Order,1990,9374
  4th Order,1990,2202
  5th And Higher Order,1990,677
Resident Live-Births By Birth Order,1990,49787
  1st Order,1991,19085
  2nd Order,1991,17098
  3rd Order,1991,8735
  4th Order,1991,2235
  5th And Higher Order,1991,652
Resident Live-Births By Birth Order,1991,47805
  1st Order,1992,19662
  2nd Order,1992,16861
  3rd Order,1992,8596
  4th Order,1992,2159
  5th And Higher Order,1992,629
Resident Live-Births By Birth Order,1992,47907
  1st Order,1993,20041
  2nd Order,1993,17276
  3rd Order,1993,8509
  4th Order,1993,2235
  5th And Higher Order,1993,678
Resident Live-Births By Birth Order,1993,48739
  1st Order,1994,19807
  2nd Order,1994,17122
  3rd Order,1994,8310
  4th Order,1994,2173
  5th And Higher Order,1994,663
Resident Live-Births By Birth Order,1994,48075
  1st Order,1995,19404
  2nd Order,1995,16650
  3rd Order,1995,8019
  4th Order,1995,2155
  5th And Higher Order,1995,688
Resident Live-Births By Birth Order,1995,46916
  1st Order,1996,18977
  2nd Order,1996,16812
  3rd Order,1996,8041
  4th Order,1996,2233
  5th And Higher Order,1996,644
Resident Live-Births By Birth Order,1996,46707
  1st Order,1997,18558
  2nd Order,1997,16378
  3rd Order,1997,7662
  4th Order,1997,2109
  5th And Higher Order,1997,649
Resident Live-Births By Birth Order,1997,45356
  1st Order,1998,17945
  2nd Order,1998,14288
  3rd Order,1998,6688
  4th Order,1998,2029
  5th And Higher Order,1998,686
Resident Live-Births By Birth Order,1998,41636
  1st Order,1999,17835
  2nd Order,1999,14469
  3rd Order,1999,6386
  4th Order,1999,1902
  5th And Higher Order,1999,735
Resident Live-Births By Birth Order,1999,41327
  1st Order,2000,18935
  2nd Order,2000,16124
  3rd Order,2000,6860
  4th Order,2000,2046
  5th And Higher Order,2000,800
Resident Live-Births By Birth Order,2000,44765
  1st Order,2001,16621
  2nd Order,2001,13686
  3rd Order,2001,6338
  4th Order,2001,1858
  5th And Higher Order,2001,778
Resident Live-Births By Birth Order,2001,39281
  1st Order,2002,16514
  2nd Order,2002,14058
  3rd Order,2002,5714
  4th Order,2002,1608
  5th And Higher Order,2002,661
Resident Live-Births By Birth Order,2002,38555
  1st Order,2003,15465
  2nd Order,2003,12686
  3rd Order,2003,5260
  4th Order,2003,1446
  5th And Higher Order,2003,617
Resident Live-Births By Birth Order,2003,35474
  1st Order,2004,15658
  2nd Order,2004,12599
  3rd Order,2004,4826
  4th Order,2004,1435
  5th And Higher Order,2004,617
Resident Live-Births By Birth Order,2004,35135
  1st Order,2005,16002
  2nd Order,2005,12555
  3rd Order,2005,4936
  4th Order,2005,1486
  5th And Higher Order,2005,549
Resident Live-Births By Birth Order,2005,35528
  1st Order,2006,16372
  2nd Order,2006,12948
  3rd Order,2006,4952
  4th Order,2006,1432
  5th And Higher Order,2006,568
Resident Live-Births By Birth Order,2006,36272
  1st Order,2007,17005
  2nd Order,2007,13135
  3rd Order,2007,4878
  4th Order,2007,1490
  5th And Higher Order,2007,566
Resident Live-Births By Birth Order,2007,37074
  1st Order,2008,17675
  2nd Order,2008,12938
  3rd Order,2008,4708
  4th Order,2008,1412
  5th And Higher Order,2008,544
Resident Live-Births By Birth Order,2008,37277
  1st Order,2009,17264
  2nd Order,2009,12946
  3rd Order,2009,4717
  4th Order,2009,1391
  5th And Higher Order,2009,607
Resident Live-Births By Birth Order,2009,36925
  1st Order,2010,16710
  2nd Order,2010,12390
  3rd Order,2010,4299
  4th Order,2010,1224
  5th And Higher Order,2010,506
Resident Live-Births By Birth Order,2010,35129
  1st Order,2011,17180
  2nd Order,2011,12959
  3rd Order,2011,4356
  4th Order,2011,1211
  5th And Higher Order,2011,472
Resident Live-Births By Birth Order,2011,36178
  1st Order,2012,18569
  2nd Order,2012,13767
  3rd Order,2012,4568
  4th Order,2012,1214
  5th And Higher Order,2012,523
Resident Live-Births By Birth Order,2012,38641
  1st Order,2013,17176
  2nd Order,2013,12484
  3rd Order,2013,4268
  4th Order,2013,1211
  5th And Higher Order,2013,542
Resident Live-Births By Birth Order,2013,35681
  1st Order,2014,17970
  2nd Order,2014,13816
  3rd Order,2014,4482
  4th Order,2014,1171
  5th And Higher Order,2014,528
Resident Live-Births By Birth Order,2014,37967
  1st Order,2015,17915
  2nd Order,2015,13314
  3rd Order,2015,4731
  4th Order,2015,1332
  5th And Higher Order,2015,569
Resident Live-Births By Birth Order,2015,37861
  1st Order,2016,17070
  2nd Order,2016,13309
  3rd Order,2016,4539
  4th Order,2016,1330
  5th And Higher Order,2016,627
Resident Live-Births By Birth Order,2016,36875
  1st Order,2017,16352
  2nd Order,2017,12688
  3rd Order,2017,4380
  4th Order,2017,1306
  5th And Higher Order,2017,718
Resident Live-Births By Birth Order,2017,35444
  1st Order,2018,16178
  2nd Order,2018,12397
  3rd Order,2018,4441
  4th Order,2018,1362
  5th And Higher Order,2018,662
Resident Live-Births By Birth Order,2018,35040
  1st Order,2019,16461
  2nd Order,2019,12416
  3rd Order,2019,4401
  4th Order,2019,1323
  5th And Higher Order,2019,729
Resident Live-Births By Birth Order,2019,35330
  1st Order,2020,15989
  2nd Order,2020,11810
  3rd Order,2020,4320
  4th Order,2020,1370
  5th And Higher Order,2020,744
Resident Live-Births By Birth Order,2020,34233
  1st Order,2021,15456
  2nd Order,2021,12361
  3rd Order,2021,4345
  4th Order,2021,1329
  5th And Higher Order,2021,692
Resident Live-Births By Birth Order,2021,34183
  1st Order,2022,15036
  2nd Order,2022,11187
  3rd Order,2022,4123
  4th Order,2022,1245
  5th And Higher Order,2022,683
Resident Live-Births By Birth Order,2022,32290
  1st Order,2023,14134
  2nd Order,2023,10870
  3rd Order,2023,3719
  4th Order,2023,1145
  5th And Higher Order,2023,645
Resident Live-Births By Birth Order,2023,30518
  1st Order,2024,14338
  2nd Order,2024,11027
  3rd Order,2024,3664
  4th Order,2024,1110
  5th And Higher Order,2024,669
Resident Live-Births By Birth Order,2024,30808
